ID;expression1;expression2;sentence1;sentence2
hom_657;dish it out;dish it out;The waitress had to dish it out to all the customers during the peak hours.;During the feedback session, she was able to dish it out to her team effectively.
het_1635;pane;pain;The glazier carefully installed the new pane in the window.;The patient experienced severe pain after the surgery.
hom_1510;rough;rough;He had a rough day dealing with the challenges.;The sandpaper is rough and scratches the surface.
hom_955;meet their end;meet their end;Everyone will meet their end eventually.;The contortionist could effortlessly meet their ends during the performance.
hom_1505;party;party;We are hosting a party at our home this Saturday.;The Liberal party announced its new policy agenda today.
hom_1066; breaking news; breaking news; The anchor reported some breaking news about the hurricane.; The archaeologists observed a lot of breaking news as the clay tablets began to crack.
hom_957;come around;come around;My cousin will come around for dinner tonight.;After fainting, he started to come around within a few minutes.
het_1457; drive-by shooting; drive-by fruiting; The gang was involved in a drive-by shooting last night.; The vandals committed a drive-by fruiting by throwing rotten tomatoes.
hom_1230;fair;fare;She looked fair in the sunlight.;He paid the bus fare to get home.
het_1301;heart;art;She placed her hand over her heart as a sign of sincerity.; The painting was a masterpiece of modern art.
hom_1295;bust;bust;The artist carved a detailed bust of the famous leader.;The police busted the illegal activities in the warehouse.
hom_727;stage;stage;The actors rehearsed their lines on the stage.;She is currently in a challenging stage of her career.
hom_1628; stop; stop; He decided to stop eating junk food for health reasons.; The traffic light will stop the cars at the intersection.
het_733;weight;wait;The weight of the backpack made the hike challenging.;She decided to wait for the meeting to start before entering the room.
hom_1037;cop out;cop out;He tends to cop out whenever there's a challenge he dislikes.;After years of service, the cop finally decided to cop out and retire.
hom_958;toast;toast;She enjoys eating toast with jam for breakfast.;His computer system is toast after the virus attack.
het_187;painfully;pane-fully;She spoke painfully about her injuries after the accident.;The room was pane-fully lined with beautiful windows.
het_1629;peck;puck;He gave her a quick peck on the cheek before leaving for work.;He carefully placed the puck on the ice before the game started.
hom_1809;crude;crude;The manager was criticized for his crude language during the meeting.;The refinery processes crude oil into gasoline.
hom_2014; soaked it in; soaked it in; The sponge soaked it in water.; She soaked it in the beautiful scenery.
hom_690;goal;goal;The team worked hard to score a goal.;Her main goal is to become a successful engineer.
hom_1285;drowned;drowned;He drowned last summer while swimming in the lake.;She felt drowned by the amount of work she had.
het_987;clothes;cloves;She bought new clothes for the summer vacation.;I added cloves to the soup to enhance its flavor.
het_1066; tenor; tender; He plays a tenor saxophone in the jazz band.; She offered tender love and care to the injured animal.
hom_15;toasted;toasted;After breakfast, she toasted her bread to a golden brown.;During the celebration, they toasted the inventor of the toaster with a champagne glass.
het_773;quarter;quarter;The mint produces millions of quarters each year.;The company expects significant growth in its quarterly profits.
het_64;barked;Bach;He barked loudly at the stranger.;She enjoys listening to Bach's Brandenburg Concertos.
hom_614;steep;steep;The hill was very steep and challenging to hike.;The new software update was a bit steep for my budget.
het_1003;environment;environment;"She is passionate about protecting the environment from pollution.";"Developers set up a new environment for testing the application."
hom_1391; cultured; cultured; He is a well-cultured individual with a deep appreciation for the arts.; The lab technician cultured the bacteria overnight to observe their growth.
hom_415;Leo;leo;Leo works as a graphic designer.;The leo is known for its strength and courage.
hom_1541;partial;partial;She is partial to chocolate ice cream.;The blueprint shows a partial view of the building's structure.
het_1588;tender;tender;She gave a tender hug to comfort her friend.;The company submitted their tender for the new infrastructure project.
het_813;passing interest;passion interest;He had a passing interest in learning Spanish, but his attention quickly shifted.;His passion interest in sculpture drove him to create intricate artworks daily.
het_1184; maneuver; manure; The skilled pilot had to maneuver the airplane carefully during the storm.; Farmers spread manure on the fields to enrich the soil.
hom_533;goose;goose;The goose waddled across the farmyard.;He decided to goose his friend during the meeting.
hom_1486;candid;candid;He appreciated her candid feedback, as she was always honest and straightforward.;The photographer captured a beautiful candid of the crowd at the concert.
het_1089;rue;rue;We walked down the narrow rue in the heart of Paris.;She began to rue her missed opportunities.
hom_765;overall;overall;Her overall assessment of the project was positive.;He wore an overall while working on the tractor.
hom_1359;serve;serve;The tennis player is ready to serve.;The volunteers serve the community every weekend.
het_1385;soda;soda;I would like a soda with my lunch.;The cleaner used soda to remove the stains.
hom_76;count on;count on;The accountant needs to count on each invoice accurately.;I can always count on my friends for support.
hom_1301;impact;impact;The car's impact with the wall caused significant damage.;The new policy had a positive impact on the economy.
hom_687;state;state;Alaska is the largest state in the United States.;She is in a happy state of mind.
het_564;yawn;yuan;I felt a strong yawn coming on during the long meeting.;The government announced a new policy to stabilize the yuan.
het_479;urgent appointment;urgent appointment;Tom scheduled an urgent appointment to discuss the project.;Tom excused himself for an urgent appointment during the meeting.
hom_181;net;net;His net income increased after all deductions were made.; The trapeze artist inspected the safety net before every performance.
hom_228;kid;kid;She took her kid to the playground every afternoon.;He didn't intend to kid you with his remarks.
het_1711;husky;husky;She has been getting husky over the holidays.;The husky protected the corn ear from the weather.
hom_52;still of the night;still of the knight;During the still of the night, the town slept peacefully.;The knight's still produced high-quality moonshine whiskey.
het_849;reign;rain;The queen's reign lasted over six decades.;Heavy rain caused the river to overflow.
het_522;knead;need;Bakers knead dough every morning.;The community needs more volunteers.
het_528; rectified; rectum; The technician rectified the network issue.; The doctor examined the patient's rectum.
het_1142;organ;organ;He decided to play the organ during the evening service.;The liver is an essential organ for detoxifying the body.
hom_383; for a song; for a song; They bought the new house for a song, saving a significant amount of money.; The pop singer offered his latest track for a new house.
hom_1263; buzz; buzz; The marketing team worked hard to create a buzz around the new product launch.; After a few beers, he started to feel a light buzz.
hom_836;leaked;leaked;The new policy was leaked to the press before the official announcement.;The roof leaked after the heavy rain caused damage.
hom_1712;butcher;butcher;The director butchered the film by making poor casting choices.;The butcher prepared fresh steaks for the customers.
hom_1040; developing; developing; "The company is developing new strategies to expand its market reach."; "The photographer is developing the exposed film in the darkroom."
hom_1051;resigned;re-signed;John resigned from his position last month.;The artist re-signed the contract after negotiations.
hom_1708;flagged;flagged;The semaphore system used flags to send messages across distances.;The popularity of semaphore communication has flagged since the advent of radio.
hom_1875;point;point;She made a convincing point in the debate.;The decimal number is written with a point separating the integers from the fractions.
hom_1745;Rome;roam;I visited Rome last summer.;I decided to roam the countryside alone.
hom_1574;grave;grave;The situation is very grave and requires immediate attention.;They visited the grave in the cemetery.
hom_1691;proof;proof;The lawyer provided proof of his client's innocence.;The bottle's proof indicates its alcohol content.
het_911;yaw;yore;The ship began to yaw sharply in the rough seas.;She reminisced about the days of yore when the village was small.
hom_339; keep it in; keep it in; She used a special treatment to keep it in and prevent her hair from falling out.; He decided to keep it in a secure box to ensure it wouldn't get lost.
het_808;Prince;prints;Prince performed at the Grammy Awards last night.;The investigator collected the fingerprints from the murder scene.
hom_1324;shake;shake;After the meeting, they shook hands to finalize the agreement.;Please shake the salt shaker before using it.
het_5;gnus;news;Researchers are studying the migratory patterns of gnus in Africa.;She reads the news every morning to stay informed.
hom_1989; remarked; re-marked; The teacher remarked on the student's progress.; The assignment was re-marked to ensure accuracy.
het_676;stationary;stationery;During the earthquake, it is important to remain stationary to ensure safety.;I bought new stationery for writing letters.
hom_976;pull yourself together;pull yourself together;After the stressful week, she really needs to pull herself together.;He pulled the curtains together to block out the sunlight.
het_501;hill;hilariously;He climbed the hill near his house.;She reacted hilariously to the joke.
hom_994;stave;stave;The wooden barrel was constructed using sturdy staves.;They used herbs to stave off the approaching winter chill.
hom_195;extreme home makeover;extreme home makeover;He participated in an extreme home makeover to renovate his house.;The massive flood acted as an extreme home makeover, drastically changing the landscape.
hom_990; rows; rose; The congregation sat in neat rows during the service.; The gardener planted roses in beautiful rows along the fence.
het_807;maternity;eternity;She took maternity leave to care for her newborn.;The project deadline felt like an eternity.
hom_574;connections;connections;Conjoined twins have physical connections linking their bodies together.;Twins often develop special connections that help them understand each other well.
het_1168;raisin;reason;She added a raisin to her morning oatmeal for extra sweetness.;His main reason for attending the meeting was to discuss the new project.
het_1263;shared;shared;They shared the cost of the project equally.;Sharing joy with others can increase your happiness.
hom_920;blowup;blowup;The heated discussion led to a blowup between the colleagues.;The controlled blowup was necessary to safely demolish the building.
hom_1977;exhausted;exhaust;After running the marathon, she was completely exhausted.;The car's exhaust emits harmful gases into the atmosphere.
het_1620;business is business;business is business;Despite the downturn, business is business and we must continue operating.;He told his friend that his business is business, meaning he prefers to keep personal matters private.
hom_2250;lame;lame;The party was lame.;The horse is lame.
hom_374;tips;tips;Pencil sharpeners have a tough life because they live off tips.;She relies on tips to supplement her income as a waitress.
hom_861;severance pay;severance pay;The company offered severance pay to employees who were laid off.;The executioner referred to the guillotine as his form of severance pay.
hom_1;sweat it out;sweat it out;They decided to sweat it out until the storm passed.;After the intense training session, she needed to sweat it out in the sauna.
het_1337; cornily; cornily; She delivered her lines cornily, eliciting laughter.; The cornily was harvested after the summer.
hom_1798;composed;composed;She composed a beautiful melody for the new album.;After the concert, he remained composed under pressure.
het_1475; hail; hell; People hail the new leader for his vision.; When the project failed, it was like all hell broke loose.
hom_371;tapered off;tapered off;The company's profits tapered off after the holiday season.;The event was beautifully decorated with tapered off candles to create a warm ambiance.
hom_595;downhill;downhill;The skier skillfully navigated the downhill slope during the competition.;After losing his job, he felt that everything was going downhill.
hom_2037;immersed;immersed;The team was immersed in their research.;The swimmer was immersed in the pool.
hom_924;cuts;cuts;The saw maker uses his tools to make precise cuts into the wood.;Due to financial losses, the company had to make lots of cuts to reduce expenses.
hom_654;lose their faculties;lose their faculties;After the accident, they began to lose their faculties and struggled to communicate.;Due to budget cuts, the university had to lose their faculties, resulting in several departments being dissolved.
hom_310;peach;peach;She bought a basket of fresh peaches from the market.;He's a real peach, always going out of his way to help.
hom_1177;click;click;He clicked the mouse to select the icon.;They didn't click because they had different interests.
het_1704;gratingly;gratingly;She responded gratingly to the constant interruptions.;He was gratingly preparing the Parmesan cheese for the pasta.
hom_1567; stride; stride; He took long strides during the marathon.; She took the marathon date change in stride.
